Maj-Week,EURGBP,EURAUD,EURNZD,EURCAD,EURUSD,EURJPY,GBPAUD,GBPNZD,GBPCAD,GBPUSD,GBPJPY,AUDUSD,AUDJPY,AUDCAD,NZDUSD,NZDJPY,NZDCAD,USDCAD,CADJPY,USDCHF
28-Sep,-74,-111,-64,14,73,51,-37,11,89,149,121,187,161,124,140,116,81,-59,32,-88
05-Oct,12,-14,45,-48,95,123,-25,35,-58,86,116,110,139,-35,49,78,-95,-140,177,-108
12-Oct,6,130,1,-40,-94,-115,124,-6,-46,-99,-120,-222,-242,-164,-94,-115,-40,52,-76,47
19-Oct,25,39,-5,72,123,56,14,-19,46,96,30,83,15,31,124,60,76,-50,-16,-114
26-Oct,-112,-25,-66,-32,-180,-183,87,47,82,-68,-75,-155,-158,-8,-113,-125,34,150,-155,139
02-Nov,36,-129,-46,-7,194,67,-166,-82,-40,158,32,329,201,124,242,121,40,-199,79,-183
09-Nov,-67,-49,-141,25,-33,89,13,-83,84,30,153,14,139,76,110,234,170,60,64,139
16-Nov,-46,-28,-101,-13,18,-56,23,-50,37,67,-8,46,-29,13,120,45,88,-31,-44,-15
23-Nov,65,-21,-48,11,90,111,-88,-113,-55,23,48,112,135,35,139,163,58,-79,107,-71
30-NOV,44,77,110,-29,132,143,40,72,-67,94,101,55,63,-108,22,30,-137,-159,167,-143
07-DEC,150,-151,-67,-18,-8,-21,-302,-220,-170,-161,-174,144,133,135,60,47,51,-6,-2,-20
