Min-Week,USDJPY,AUDNZD,EURCHF,GBPCHF,AUDCHF,NZDCHF,CADCHF,CHFJPY,EURSGD,GBPSGD,AUDSGD,NZDSGD,CADSGD,USDSGD,EURMXN,GBPMXN,SPX500,USDWTI,SILVER,USGOLD
12-Oct,-20,-130,-40,-54,-174,-44,-6,-70,-53,-59,182,-55,-14,42,-87,-88,-35,48,-392,-160
19-Oct,-66,-42,5,-33,-32,8,-65,52,-53,96,83,25,50,-9,-16,-40,-35,-52,93,14
26-Oct,-8,-39,-42,71,-17,26,-10,-150,-22,-10,-97,-55,-90,66,-28,79,-3,-6,-89,-22
02-Nov,-119,84,9,-29,141,56,15,63,61,25,194,108,67,-132,-92,-129,0,465,835,389
09-Nov,123,-93,103,166,152,249,79,-14,-40,23,6,102,-65,-5,-117,-48,201,732,-384,-319
16-Nov,-75,-74,3,53,29,102,15,-58,-12,37,16,89,1,-33,-140,-86,-88,575,-193,-98
23-Nov,24,-28,18,-45,43,69,10,95,52,-15,74,101,41,-39,51,-16,237,736,-610,-443
30-NOV,8,33,-11,-53,-89,-121,17,151,111,73,34,1,141,-19,-5,-45,140,125,663,284
07-DEC,-13,85,-29,-179,121,38,-12,9,4,-150,155,72,21,11,174,28,-83,98,-105,4
14-DEC,-72,47,42,145,40,-2,-88,6,47,150,45,2,-82,-74,21,125,185,530,779,228
